Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Albert Ehrenstein","11230","Der einsame Weg. Schauspiel in fünf Akten","29985","58","Directed","Albert Ehrenstein–Der einsame Weg. Schauspiel in fünf Akten","1"
"Albert Ehrenstein","11230","Reigen. Zehn Dialoge","29855","55","Directed","Albert Ehrenstein–Reigen. Zehn Dialoge","1"
"Albert Ehrenstein","11230","Der Weg ins Freie. Roman","29923","47","Directed","Albert Ehrenstein–Der Weg ins Freie. Roman","3"
"Albert Ehrenstein","11230","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Albert Ehrenstein–Der grüne Kakadu. Groteske in einem Akt","1"
"Albert Ehrenstein","11230","Der junge Medardus. Dramatische Historie in einem Vorspiel und fünf Aufzügen","29937","40","Directed","Albert Ehrenstein–Der junge Medardus. Dramatische Historie in einem Vorspiel und fünf Aufzügen","3"
"Albert Ehrenstein","11230","Zwischenspiel. Komödie in drei Akten","29903","26","Directed","Albert Ehrenstein–Zwischenspiel. Komödie in drei Akten","1"
"Albert Ehrenstein","11230","Die Zeit","35935","22","Directed","Albert Ehrenstein–Die Zeit","3"
"Friedrich M. Fels","2450","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Friedrich M. Fels–Liebelei. Schauspiel in drei Akten","3"
"Friedrich M. Fels","2450","Anatol","29935","96","Directed","Friedrich M. Fels–Anatol","1"
"Friedrich M. Fels","2450","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Friedrich M. Fels–Das Märchen. Schauspiel in drei Aufzügen","1"
"Friedrich M. Fels","2450","Sterben. Novelle","30117","52","Directed","Friedrich M. Fels–Sterben. Novelle","2"
"Friedrich M. Fels","2450","Die kleine Komödie","31975","19","Directed","Friedrich M. Fels–Die kleine Komödie","1"
"Stefan Grossmann","11527","Reigen. Zehn Dialoge","29855","55","Directed","Stefan Grossmann–Reigen. Zehn Dialoge","3"
"Stefan Grossmann","11527","Lebendige Stunden. Vier Einakter","29863","38","Directed","Stefan Grossmann–Lebendige Stunden. Vier Einakter","1"
"Stefan Grossmann","11527","Neue Freie Presse","36374","36","Directed","Stefan Grossmann–Neue Freie Presse","3"
"Stefan Grossmann","11527","Der Ruf des Lebens. Schauspiel in drei Akten","29905","34","Directed","Stefan Grossmann–Der Ruf des Lebens. Schauspiel in drei Akten","1"
"Stefan Grossmann","11527","Lieutenant Gustl. Novelle","29853","31","Directed","Stefan Grossmann–Lieutenant Gustl. Novelle","4"
"Stefan Grossmann","11527","Das weite Land. Tragikomödie in fünf Akten","30207","30","Directed","Stefan Grossmann–Das weite Land. Tragikomödie in fünf Akten","3"
"Stefan Grossmann","11527","Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter","32562","28","Directed","Stefan Grossmann–Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter","1"
"Stefan Grossmann","11527","Professor Bernhardi. Komödie in fünf Akten","30203","18","Directed","Stefan Grossmann–Professor Bernhardi. Komödie in fünf Akten","2"
"Stefan Grossmann","11527","Literatur","29869","16","Directed","Stefan Grossmann–Literatur","2"
"Gerhart Hauptmann","11617","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Gerhart Hauptmann–Der Schleier der Beatrice. Schauspiel in fünf Akten","1"
"Hugo von Hofmannsthal","11740","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Hugo von Hofmannsthal–Liebelei. Schauspiel in drei Akten","9"
