Source,SourceID,Lat-Long-Sender,Target,TargetID,Lat-Long-Receiver,Type,Label,Weight
"IX., Alsergrund","59","48,22387 16,35641","Rodaun","173","48,132793312328 16,256152195922","Directed","IX., Alsergrund–Rodaun","2"
"Höhlenstein","758","46,641944 12,2322","Höhlenstein","758","46,641944 12,2322","Directed","Höhlenstein–Höhlenstein","2"
"Höhlenstein","758","46,641944 12,2322","Edlach an der Rax","470","47,69255 15,80915","Directed","Höhlenstein–Edlach an der Rax","3"
"Welsberg-Taisten","428","46,75774 12,10556","Velden am Wörthersee","909","46,61901 14,03129","Directed","Welsberg-Taisten–Velden am Wörthersee","1"
"9/3 Post- und Telegraphenamt 72","365208","48,216197 16,356623","Altaussee","34401","47,639444 13,763333","Directed","9/3 Post- und Telegraphenamt 72–Altaussee","1"
"Wien","50","48,208333 16,373056","Gartengasse","52575","47,611587818489916 13,782609825157191","Directed","Wien–Gartengasse","1"
"St. Gilgen","33","47,76667 13,36667","Willergasse 2","231810","48,139276 16,257741","Directed","St. Gilgen–Willergasse 2","1"
"Matrei am Brenner","591","47,12852 11,45222","Rodaun","173","48,132793312328 16,256152195922","Directed","Matrei am Brenner–Rodaun","1"
"Florenz","263","43,77925 11,24626","Wien","50","48,208333 16,373056","Directed","Florenz–Wien","1"
"Scuol","63808","46,79671 10,29804","Scuol","63808","46,79671 10,29804","Directed","Scuol–Scuol","1"
"Scuol","63808","46,79671 10,29804","Tiefer Graben 17","207301","48,212284 16,367725","Directed","Scuol–Tiefer Graben 17","1"
"Bad Fusch","305739","47,19939 12,85366","Seis am Schlern","988","46,54133 11,55868","Directed","Bad Fusch–Seis am Schlern","1"
"Marienbad","772","49,964444 12,701944","Wildbad Waldbrunn","723","46,751211 12,101269","Directed","Marienbad–Wildbad Waldbrunn","1"
"Solin","453","43,5 16,5","Solin","453","43,5 16,5","Directed","Solin–Solin","1"
"Solin","453","43,5 16,5","I., Innere Stadt","51","48,20769 16,37049","Directed","Solin–I., Innere Stadt","1"
"III., Landstraße","53","48,19811 16,39482","Wien","50","48,208333 16,373056","Directed","III., Landstraße–Wien","2"
"Lindau am Bodensee","986","47,54612 9,68431","Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Directed","Lindau am Bodensee–Edmund-Weiß-Gasse 7","1"
"Ouchy","36464","46,50666 6,62493","Ouchy","36464","46,50666 6,62493","Directed","Ouchy–Ouchy","2"
"Ouchy","36464","46,50666 6,62493","Tiefer Graben 23","207296","48,213038 16,368738","Directed","Ouchy–Tiefer Graben 23","1"
"Mariazell","431","47,77306 15,31639","Sternwartestraße 71","168815","48,23188 16,33716","Directed","Mariazell–Sternwartestraße 71","1"
"München","45258","48,13743 11,57549","Salzburg","30","47,80067 13,04532","Directed","München–Salzburg","1"
"Hauptbahnhof Salzburg","50792","47,813139 13,045769","Rodaun","173","48,132793312328 16,256152195922","Directed","Hauptbahnhof Salzburg–Rodaun","1"
"Seeboden am Millstättersee","34824","46,818888888889 13,518333","Toblach","987","46,72493 12,22109","Directed","Seeboden am Millstättersee–Toblach","1"
"Toblach","987","46,72493 12,22109","Südbahnhotel [Toblach]","36284","46,723101 12,225656","Directed","Toblach–Südbahnhotel [Toblach]","1"
"Tiefer Graben 23","207296","48,213038 16,368738","IX., Alsergrund","59","48,22387 16,35641","Directed","Tiefer Graben 23–IX., Alsergrund","1"
"IX., Alsergrund","59","48,22387 16,35641","IX., Alsergrund","59","48,22387 16,35641","Directed","IX., Alsergrund–IX., Alsergrund","2"
"Lugano","885","46,01008 8,96004","Haus Bahr","207274","48,186771 16,261305","Directed","Lugano–Haus Bahr","1"
"Szklarska Poręba","34528","50,82567 15,52274","Wien","50","48,208333 16,373056","Directed","Szklarska Poręba–Wien","1"
"Gerngroß","183","48,199904627721 16,354007973149","Wien","50","48,208333 16,373056","Directed","Gerngroß–Wien","1"
"Salzburg","30","47,80067 13,04532","9/2 Post- und Telegraphenamt 71","365211","48,218574 16,35084","Directed","Salzburg–9/2 Post- und Telegraphenamt 71","1"
"Tiefer Graben 23","207296","48,213038 16,368738","Bad Ischl","213","47,71109 13,61893","Directed","Tiefer Graben 23–Bad Ischl","4"
"Brenner","608","47,00528 11,50836","Wien","50","48,208333 16,373056","Directed","Brenner–Wien","1"
"Kaliningrad","304404","54,733333 20,483333","Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Directed","Kaliningrad–Edmund-Weiß-Gasse 7","1"
"Salzburg","30","47,80067 13,04532","Wohnung und Ordination Arthur Schnitzler Grillparzerstraße 7/3. Stock","167782","48,212477 16,357233","Directed","Salzburg–Wohnung und Ordination Arthur Schnitzler Grillparzerstraße 7/3. Stock","1"
"Opatija","38096","45,33771 14,30515","Wien","50","48,208333 16,373056","Directed","Opatija–Wien","2"
"St. Anton am Arlberg","212","47,1275 10,26372","XIII., Hietzing","63","48,17547 16,29101","Directed","St. Anton am Arlberg–XIII., Hietzing","1"
"Hamburg","506","53,55055 9,993333","Wien","50","48,208333 16,373056","Directed","Hamburg–Wien","3"
"Wien","50","48,208333 16,373056","Brijuni","45260","44,91417 13,76222","Directed","Wien–Brijuni","1"
"Berghaus Moserboden","90148","47,16667 12,71667","Alpenhaus Kesselfall","40435","47,216326 12,726278","Directed","Berghaus Moserboden–Alpenhaus Kesselfall","1"
