Source,SID,Target,TID,Overallcount,Type,Label,Weight
"Hermann Bahr","10815","Oskar Sauer","2193","2","Directed","Hermann Bahr–Oskar Sauer","2"
"Hermann Bahr","10815","Emil von Jettel-Ettenach","2196","2","Directed","Hermann Bahr–Emil von Jettel-Ettenach","2"
"Hermann Bahr","10815","Gustav Davis","2207","2","Directed","Hermann Bahr–Gustav Davis","1"
"Hermann Bahr","10815","Norbert von Ortner-Rodenstätt","2216","2","Directed","Hermann Bahr–Norbert von Ortner-Rodenstätt","1"
"Hermann Bahr","10815","Oskar Bacher","2241","2","Directed","Hermann Bahr–Oskar Bacher","2"
"Hermann Bahr","10815","Arnold Korff","2249","2","Directed","Hermann Bahr–Arnold Korff","1"
"Hermann Bahr","10815","Lotte Medelsky","2252","2","Directed","Hermann Bahr–Lotte Medelsky","1"
"Hermann Bahr","10815","Arthur Johannes Scholz","2270","2","Directed","Hermann Bahr–Arthur Johannes Scholz","2"
"Hermann Bahr","10815","Paula Dehmel","2281","2","Directed","Hermann Bahr–Paula Dehmel","1"
"Hermann Bahr","10815","Alfred Halm","2385","2","Directed","Hermann Bahr–Alfred Halm","1"
"Hermann Bahr","10815","Moritz Epstein","2947","2","Directed","Hermann Bahr–Moritz Epstein","2"
"Hermann Bahr","10815","Francesco Petrarca","2975","2","Directed","Hermann Bahr–Francesco Petrarca","2"
"Hermann Bahr","10815","Fjodor Mihajlovič Dostojevskij","4006","2","Directed","Hermann Bahr–Fjodor Mihajlovič Dostojevskij","1"
"Hermann Bahr","10815","Bertold Löffler","8744","2","Directed","Hermann Bahr–Bertold Löffler","1"
"Hermann Bahr","10815","Tilla Durieux","11198","2","Directed","Hermann Bahr–Tilla Durieux","1"
"Richard Beer-Hofmann","10863","Olga Schnitzler","2173","459","Directed","Richard Beer-Hofmann–Olga Schnitzler","68"
"Richard Beer-Hofmann","10863","Hugo von Hofmannsthal","11740","271","Directed","Richard Beer-Hofmann–Hugo von Hofmannsthal","124"
"Richard Beer-Hofmann","10863","Hermann Bahr","10815","208","Directed","Richard Beer-Hofmann–Hermann Bahr","33"
"Richard Beer-Hofmann","10863","Paul Goldmann","11485","157","Directed","Richard Beer-Hofmann–Paul Goldmann","69"
"Richard Beer-Hofmann","10863","Felix Salten","2167","130","Directed","Richard Beer-Hofmann–Felix Salten","50"
"Richard Beer-Hofmann","10863","Paula Beer-Hofmann","10860","121","Directed","Richard Beer-Hofmann–Paula Beer-Hofmann","103"
"Richard Beer-Hofmann","10863","Heinrich Schnitzler","12692","114","Directed","Richard Beer-Hofmann–Heinrich Schnitzler","19"
"Richard Beer-Hofmann","10863","Otto Brahm","10986","112","Directed","Richard Beer-Hofmann–Otto Brahm","18"
"Richard Beer-Hofmann","10863","Gustav Schwarzkopf","12740","87","Directed","Richard Beer-Hofmann–Gustav Schwarzkopf","45"
"Richard Beer-Hofmann","10863","Fedor Mamroth","4986","77","Directed","Richard Beer-Hofmann–Fedor Mamroth","4"
"Richard Beer-Hofmann","10863","Louise Schnitzler","12701","76","Directed","Richard Beer-Hofmann–Louise Schnitzler","22"
"Richard Beer-Hofmann","10863","Heinrich Kanner","11867","75","Directed","Richard Beer-Hofmann–Heinrich Kanner","1"
"Richard Beer-Hofmann","10863","Isidor Singer","12790","64","Directed","Richard Beer-Hofmann–Isidor Singer","2"
"Richard Beer-Hofmann","10863","Marie Reinhard","2378","59","Directed","Richard Beer-Hofmann–Marie Reinhard","4"
"Richard Beer-Hofmann","10863","Gertrude von Hofmannsthal","2292","55","Directed","Richard Beer-Hofmann–Gertrude von Hofmannsthal","4"
"Richard Beer-Hofmann","10863","Max Eugen Burckhard","11036","55","Directed","Richard Beer-Hofmann–Max Eugen Burckhard","12"
"Richard Beer-Hofmann","10863","Samuel Fischer","11324","50","Directed","Richard Beer-Hofmann–Samuel Fischer","10"
"Richard Beer-Hofmann","10863","Theodor Herzl","11673","50","Directed","Richard Beer-Hofmann–Theodor Herzl","3"
"Richard Beer-Hofmann","10863","Alfred Kerr","11910","50","Directed","Richard Beer-Hofmann–Alfred Kerr","11"
"Richard Beer-Hofmann","10863","Frieda Pollak","22728","50","Directed","Richard Beer-Hofmann–Frieda Pollak","3"
"Richard Beer-Hofmann","10863","Julius Schnitzler","12698","45","Directed","Richard Beer-Hofmann–Julius Schnitzler","9"
"Richard Beer-Hofmann","10863","Johann Wolfgang von Goethe","11461","44","Directed","Richard Beer-Hofmann–Johann Wolfgang von Goethe","2"
"Richard Beer-Hofmann","10863","Elisabeth Steinrück","2315","43","Directed","Richard Beer-Hofmann–Elisabeth Steinrück","9"
"Richard Beer-Hofmann","10863","Paul Schlenther","12671","43","Directed","Richard Beer-Hofmann–Paul Schlenther","8"
"Richard Beer-Hofmann","10863","Jakob Wassermann","13055","42","Directed","Richard Beer-Hofmann–Jakob Wassermann","6"
"Richard Beer-Hofmann","10863","Georg Hirschfeld","11701","40","Directed","Richard Beer-Hofmann–Georg Hirschfeld","12"
"Richard Beer-Hofmann","10863","Arthur Schnitzler","2121","39","Directed","Richard Beer-Hofmann–Arthur Schnitzler","5"
"Richard Beer-Hofmann","10863","Lili Cappellini","2238","39","Directed","Richard Beer-Hofmann–Lili Cappellini","9"
"Richard Beer-Hofmann","10863","Adele Sandrock","12618","39","Directed","Richard Beer-Hofmann–Adele Sandrock","11"
"Richard Beer-Hofmann","10863","Leo Van-Jung","26392","39","Directed","Richard Beer-Hofmann–Leo Van-Jung","18"
"Richard Beer-Hofmann","10863","Georg Brandes","10992","37","Directed","Richard Beer-Hofmann–Georg Brandes","8"
"Richard Beer-Hofmann","10863","Gerhart Hauptmann","11617","37","Directed","Richard Beer-Hofmann–Gerhart Hauptmann","2"
"Richard Beer-Hofmann","10863","Max Reinhardt","12504","37","Directed","Richard Beer-Hofmann–Max Reinhardt","14"
"Richard Beer-Hofmann","10863","Peter Altenberg","2147","36","Directed","Richard Beer-Hofmann–Peter Altenberg","4"
"Richard Beer-Hofmann","10863","Marie Glümer","14953","35","Directed","Richard Beer-Hofmann–Marie Glümer","2"
"Richard Beer-Hofmann","10863","Clementine Goldmann","17163","35","Directed","Richard Beer-Hofmann–Clementine Goldmann","1"
"Richard Beer-Hofmann","10863","Leopold von Andrian-Werburg","10765","32","Directed","Richard Beer-Hofmann–Leopold von Andrian-Werburg","8"
"Richard Beer-Hofmann","10863","Hugo August von Hofmannsthal","11737","31","Directed","Richard Beer-Hofmann–Hugo August von Hofmannsthal","1"
"Richard Beer-Hofmann","10863","Friedrich Michael Fels","2450","28","Directed","Richard Beer-Hofmann–Friedrich Michael Fels","12"
"Richard Beer-Hofmann","10863","Karl Kraus","11988","27","Directed","Richard Beer-Hofmann–Karl Kraus","8"
"Richard Beer-Hofmann","10863","Robert Hirschfeld","11707","26","Directed","Richard Beer-Hofmann–Robert Hirschfeld","5"
"Richard Beer-Hofmann","10863","Lou Andreas-Salomé","10762","25","Directed","Richard Beer-Hofmann–Lou Andreas-Salomé","9"
