Source,SID,Target,TID,Overallcount,Type,Label,Weight
"Paul Goldmann","11485","Ludwig Schwitzer","87963","1","Directed","Paul Goldmann–Ludwig Schwitzer","1"
"Paul Goldmann","11485","Léon Chailley","87969","1","Directed","Paul Goldmann–Léon Chailley","1"
"Paul Goldmann","11485","Léon Bourgeois","88000","2","Directed","Paul Goldmann–Léon Bourgeois","2"
"Paul Goldmann","11485","James McNeill Whistler","88079","1","Directed","Paul Goldmann–James McNeill Whistler","1"
"Paul Goldmann","11485","Moritz Thausing","88086","1","Directed","Paul Goldmann–Moritz Thausing","1"
"Paul Goldmann","11485","André Hallays","88124","2","Directed","Paul Goldmann–André Hallays","2"
"Paul Goldmann","11485","René Bazin","88128","1","Directed","Paul Goldmann–René Bazin","1"
"Paul Goldmann","11485","Augustin Filon","88134","1","Directed","Paul Goldmann–Augustin Filon","1"
"Paul Goldmann","11485","Jules Lemaître","88138","2","Directed","Paul Goldmann–Jules Lemaître","2"
"Paul Goldmann","11485","Édouard Drumont","88149","2","Directed","Paul Goldmann–Édouard Drumont","2"
"Paul Goldmann","11485","Wölfer","88175","1","Directed","Paul Goldmann–Wölfer","1"
"Paul Goldmann","11485","Josef Kvasnicka","88185","1","Directed","Paul Goldmann–Josef Kvasnicka","1"
"Paul Goldmann","11485","Elise Pserhofer","88290","1","Directed","Paul Goldmann–Elise Pserhofer","1"
"Paul Goldmann","11485","Anna Hochenburger","88364","1","Directed","Paul Goldmann–Anna Hochenburger","1"
"Paul Goldmann","11485","Oswald Boxer","88416","1","Directed","Paul Goldmann–Oswald Boxer","1"
"Paul Goldmann","11485","Jakob Khom","88490","1","Directed","Paul Goldmann–Jakob Khom","1"
"Paul Goldmann","11485","Anton Zaunegger","88520","1","Directed","Paul Goldmann–Anton Zaunegger","1"
"Paul Goldmann","11485","Adele Schreiber","88525","2","Directed","Paul Goldmann–Adele Schreiber","2"
"Paul Goldmann","11485","A. P.","88531","1","Directed","Paul Goldmann–A. P.","1"
"Paul Goldmann","11485","Albert Mamroth","88712","1","Directed","Paul Goldmann–Albert Mamroth","1"
"Paul Goldmann","11485","Charles Tardieu","88736","2","Directed","Paul Goldmann–Charles Tardieu","2"
"Paul Goldmann","11485","Jacob Jordaens","88738","1","Directed","Paul Goldmann–Jacob Jordaens","1"
"Paul Goldmann","11485","?? [Leiter einer Glasfabrik]","88741","1","Directed","Paul Goldmann–?? [Leiter einer Glasfabrik]","1"
"Paul Goldmann","11485","?? [Schwester eines Glasfabrikanten]","88745","1","Directed","Paul Goldmann–?? [Schwester eines Glasfabrikanten]","1"
"Paul Goldmann","11485","Marie Henriette von Österreich","88750","1","Directed","Paul Goldmann–Marie Henriette von Österreich","1"
"Paul Goldmann","11485","Karl Schönfeld","88758","1","Directed","Paul Goldmann–Karl Schönfeld","1"
"Paul Goldmann","11485","Hector Chainaye","88780","1","Directed","Paul Goldmann–Hector Chainaye","1"
"Paul Goldmann","11485","?? [Vorgesetzter Paul Goldmanns 1891]","88812","1","Directed","Paul Goldmann–?? [Vorgesetzter Paul Goldmanns 1891]","1"
"Paul Goldmann","11485","?? [Verfasser einer abgelehnten Erzählung] [1889]","88842","1","Directed","Paul Goldmann–?? [Verfasser einer abgelehnten Erzählung] [1889]","1"
"Paul Goldmann","11485","?? [Frau, die mit Goldmann in der Straßenbahn spricht, Ende November 1889]","88860","2","Directed","Paul Goldmann–?? [Frau, die mit Goldmann in der Straßenbahn spricht, Ende November 1889]","2"
"Paul Goldmann","11485","?? [Mann, der Gespräch über Schnitzler in der Straßenbahn belauscht, Ende November 1889]","88864","1","Directed","Paul Goldmann–?? [Mann, der Gespräch über Schnitzler in der Straßenbahn belauscht, Ende November 1889]","1"
"Paul Goldmann","11485","Leopold Spitzer","88866","2","Directed","Paul Goldmann–Leopold Spitzer","2"
"Paul Goldmann","11485","?? [Anwalt der Buchdruckerei Eberle, 1891]","88895","1","Directed","Paul Goldmann–?? [Anwalt der Buchdruckerei Eberle, 1891]","1"
"Paul Goldmann","11485","Hans Johann von Mauthner","88915","1","Directed","Paul Goldmann–Hans Johann von Mauthner","1"
"Paul Goldmann","11485","Stephan von Mauthner","88919","1","Directed","Paul Goldmann–Stephan von Mauthner","1"
